method,seed,episode,step,action,selected_beam,oracle_action,oracle_beam,los_beam,oracle_action_match,measured_reward,true_reward,oracle_true_reward,oracle_reward_gap,true_rate,oracle_true_rate,oracle_rate_gap,true_outage,true_beam_success,rate,outage,beam_success,los_flag,reflection_ratio,num_available_paths,dominant_path_type,planning_latency_ms,latency_ms,fallback_triggered,guard_triggered,policy_confidence,policy_margin,policy_entropy,planner_value,planner_terminal_value,planner_beam_gain_value,planner_score_gap,planner_score_std,planner_candidates,planner_los_recovery_gate,planner_los_recovery_bias_max,planner_los_recovery_bias_chosen,planner_los_guard_used,planner_predictive_fallback_used,shortlist_size,shortlist_local_size,shortlist_global_fallback_count,shortlist_los_reserved,shortlist_reflection_reserved,shortlist_prev_beam_kept,shortlist_max_los_prob,shortlist_max_reflection_prob,shortlist_max_beam_gain,shortlist_beam_gain_weight,shortlist_blockage_hint,shortlist_reflection_hint,shortlist_used_global_pool,shortlist_base_pool_size
Reactive,0,0,45,16,16,16,16,16,1.0,6.882132883693273,7.048338455633397,7.048338455633397,0.0,7.048338455633397,7.048338455633397,0.0,0.0,1.0,6.882132883693273,0.0,1.0,1.0,0.1161083915062189,5,los,0.0027909991331398487,0.0027909991331398487,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,46,16,16,16,16,16,1.0,6.820685069861601,7.121153151649497,7.121153151649497,0.0,7.121153151649497,7.121153151649497,0.0,0.0,1.0,6.820685069861601,0.0,1.0,1.0,0.11581572970023093,5,los,0.002791999577311799,0.002791999577311799,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,47,16,16,16,16,16,1.0,7.304803541527653,7.186364920399706,7.186364920399706,0.0,7.186364920399706,7.186364920399706,0.0,0.0,1.0,7.304803541527653,0.0,1.0,1.0,0.11541277986520196,5,los,0.0026670004444895312,0.0026670004444895312,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,48,16,16,16,16,16,1.0,7.165522042926902,7.24277173860109,7.24277173860109,0.0,7.24277173860109,7.24277173860109,0.0,0.0,1.0,7.165522042926902,0.0,1.0,1.0,0.11538536611819805,5,los,0.002749999111983925,0.002749999111983925,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,49,16,16,16,16,16,1.0,7.424795145689536,7.2890020975397105,7.2890020975397105,0.0,7.2890020975397105,7.2890020975397105,0.0,0.0,1.0,7.424795145689536,0.0,1.0,1.0,0.11575691534950168,5,los,0.0027500009309733286,0.0027500009309733286,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,50,16,16,16,16,16,1.0,7.334438115863647,7.323489020341872,7.323489020341872,0.0,7.323489020341872,7.323489020341872,0.0,0.0,1.0,7.334438115863647,0.0,1.0,1.0,0.11609381879224523,5,los,0.0031250001484295353,0.0031250001484295353,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,51,16,16,16,16,16,1.0,7.5311782705735375,7.344438799699038,7.344438799699038,0.0,7.344438799699038,7.344438799699038,0.0,0.0,1.0,7.5311782705735375,0.0,1.0,1.0,0.11638410905370043,5,los,0.0027909991331398487,0.0027909991331398487,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,52,16,16,16,16,16,1.0,7.238556433969835,7.349794906430287,7.349794906430287,0.0,7.349794906430287,7.349794906430287,0.0,0.0,1.0,7.238556433969835,0.0,1.0,1.0,0.11661222536536625,5,los,0.0028750000637955964,0.0028750000637955964,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,53,16,16,16,16,16,1.0,7.079386133386284,7.337195808246202,7.337195808246202,0.0,7.337195808246202,7.337195808246202,0.0,0.0,1.0,7.079386133386284,0.0,1.0,1.0,0.11675792748050225,5,los,0.002958000550279394,0.002958000550279394,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,54,16,16,16,16,16,1.0,7.362702695153425,7.303922699625101,7.303922699625101,0.0,7.303922699625101,7.303922699625101,0.0,0.0,1.0,7.362702695153425,0.0,1.0,1.0,0.1167950551529026,5,los,0.0028329995984677225,0.0028329995984677225,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,55,16,16,16,16,16,1.0,7.073272522286184,7.246844245044172,7.246844245044172,0.0,7.246844245044172,7.246844245044172,0.0,0.0,1.0,7.073272522286184,0.0,1.0,1.0,0.11668970830256933,5,los,0.002666000000317581,0.002666000000317581,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,56,16,16,16,16,16,1.0,6.9420681829765405,7.1623447101023,7.1623447101023,0.0,7.1623447101023,7.1623447101023,0.0,0.0,1.0,6.9420681829765405,0.0,1.0,1.0,0.11639857787491226,5,los,0.002749999111983925,0.002749999111983925,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,57,16,16,16,16,16,1.0,6.802151095288137,7.0462458408917605,7.0462458408917605,0.0,7.0462458408917605,7.0462458408917605,0.0,0.0,1.0,6.802151095288137,0.0,1.0,1.0,0.11586711372269717,5,los,0.002666000000317581,0.002666000000317581,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
